Address,Suburb,Landsize
9 Irvine St,Pascoe Vale,759
467 Bay St,Port Melbourne,95
95 Station St,Port Melbourne,82
34 Bridge St,Port Melbourne,94
2 McMicken La,Prahran,90
47 Clifton St,Prahran,96
49 Clifton St,Prahran,98
3/413 Gilbert Rd,Preston,40
30 Flett St,Preston,79
1c Mary St,Preston,77
187 Gilbert Rd,Preston,44
8/211 Edwardes St,Reservoir,99
2/16 Cheddar Rd,Reservoir,91
3/36 Myrtle Gr,Reservoir,94
3/18 Bedford St,Reservoir,95
3/41 Fordham Rd,Reservoir,95
2/1 Clark St,Reservoir,93
5/25 Ashley St,Reservoir,86
60 Somerset St,Richmond,67
32 Jubilee Pl,Richmond,80
21 Gardner St,Richmond,78
33a River St,Richmond,58
2/175 Kent St,Richmond,78
47 Lord St,Richmond,79
38a Buckingham St,Richmond,96
42 Hunter St,Richmond,73
2/310 Burnley St,Richmond,76
18 Buckingham St,Richmond,57
21A Kent St,Richmond,77
27/16 Goodwood St,Richmond,75
7/1 Princess St,Richmond,85
1 Griffiths St,Richmond,54
22a Stanley St,Richmond,80
25 Dickmann St,Richmond,98
23 Gardner St,Richmond,80
16/77 St James Rd,Rosanna,83
13/77 St James Rd,Rosanna,73
2 Skipper La,Seddon,96
157 Napier St,South Melbourne,87
218 Ferrars St,South Melbourne,83
1/14 Arthur St,South Yarra,80
2a Alexandra St,South Yarra,89
14 Thomson St,Sunshine,360
2/215 Mont Albert Rd,Surrey Hills,88
1/52 Union Rd,Surrey Hills,95
5/67 Flinders St,Thornbury,78
11/38 Grange Rd,Toorak,56
1a Kingston St,Yarraville,94
2/175 Blyth St,Brunswick East,86
1/10 Linden St,Brunswick East,88
217 Stewart St,Brunswick East,96
22 Faraday St,Carlton,125
83 Cardigan St,Carlton,66
10 Beryl St,Essendon West,807
1/71 Lynch Rd,Fawkner,97
2/79 Queens Pde,Fawkner,69
10/26 Redfern Rd,Hawthorn East,92
2/56 Banksia St,Heidelberg,87
52a Williamstown Rd,Kingsville,84
2/35 Leila Rd,Ormond,109
2/10 Hatfield Ct,West Footscray,92
5/28 Hampton Pde,West Footscray,80
2/3 New St,South Kingsville,62
3/4 Combermere St,Aberfeldie,69
1/7 Queens Pde,Ashwood,300
4/287 Albion St,Brunswick,85
64 Tinning St,Brunswick,80
3/6 Methven St,Brunswick East,65
3/12 Somers St,Burwood,80
1/115 Harding St,Coburg,78
4/11 Stanley St,Essendon,61
17/6 Rosamond Rd,Footscray,64
1/18 Peace St,Glen Iris,96
1/12 Grenville St,Hampton,90
6/4 Wiseman St,Hawthorn East,70
3/56 Banksia St,Heidelberg,86
12 Hilltop Ct,Keilor East,54
4/667 Barkly St,West Footscray,134
92 Simpson St,Yarraville,93
1/17 Gordon Pde,Yarraville,78
22 Lulie St,Abbotsford,92
5/15 Bulla Rd,Essendon North,81
322 Young St,Fitzroy,86
233 Gore St,Fitzroy,62
4/26 Barnett St,Kensington,97
649 Queensberry St,North Melbourne,88
4/36 Robert St,Spotswood,89
2 Diamond St,Essendon West,777
187 Errol St,North Melbourne,90
8 Jones St,Brunswick,76
1/185 Moreland Rd,Coburg,64
9/80 Hobsons Rd,Kensington,68
10 Chicquita Cct,Mentone,93
7 Webb La,East Melbourne,86
1/22 Rathmines St,Fairfield,85
15 Argyle St,Fitzroy,60
6 Mandrel St,Maidstone,58
141 Howard St,North Melbourne,36
58 Station St,Port Melbourne,69
7 Wiltshire St,Richmond,83
2 Federation La,Abbotsford,92
2a Cherrill St,Burnley,93
6/6 Rosamond Rd,Footscray,43
17/459 Waterdale Rd,Heidelberg West,94
2 Smith St,Kensington,90
21/9 Fabian Ct,Maribyrnong,81
1/43 Surrey St,Pascoe Vale,96
3/6 Miller St,Prahran,57
67 Dow St,South Melbourne,74
4/136 Wright St,Sunshine,44
1/27 Stephen St,Yarraville,79
5/26 Cornell St,Camberwell,92
4/12 Victoria Av,Mitcham,71
1 Reilly Pl,South Melbourne,80
6/70 Grange Bvd,Bundoora,89
12/26 Park St,Footscray,87
4/13 Glen Valley Rd,Forest Hill,75
13/4 Hillside Pde,Glen Iris,96
7/459 Waterdale Rd,Heidelberg West,89
40 Gadd St,Northcote,414
11A Percy St,Prahran,78
1/72 Pine St,Reservoir,59
27 Andrew St,Windsor,1
4/25 White St,Parkdale,79
66 Palmerston St,Carlton,98
7 Cavalry Cct,Maribyrnong,90
3/2 Woods Av,Mordialloc,56
17 Dickmann St,Richmond,78
2/38 Ethel St,Brunswick East,70
7/35 Grieve Pde,Altona,63
346 Princes St,Port Melbourne,109
4/135 Brunswick Rd,Brunswick,83
250 Ferrars St,South Melbourne,66
2/8 Simpsons Rd,Box Hill,84
7 MacKay St,Prahran,132
13/8 The Strand,Williamstown,84
19/8 The Strand,Williamstown,56
281 Esplanade East,Port Melbourne,91
