Address,Suburb,Landsize
4/426 Buckley St,Essendon West,103 
4/8 Margot St,West Footscray,137 
4b Newcastle St,Thornbury,165 
4 Dane Rd,Hampton East,370 
4 Rupert St,West Footscray,522 
50 Andrew St,Windsor,299 
50 Bedford St,Airport West,289 
53 Mason St,Newport,362 
548 Centre Rd,Bentleigh,103 
56 Asling St,Brighton,380 
59A Fyffe St,Thornbury,444 
59 William St,Brighton,398 
5 North St,Preston,517 
5 Pacific Dr,Heidelberg West,359 
60 Ross St,Northcote,269 
6/1 Monaro Rd,Kooyong,268 
61 Murray Rd,Coburg,372 
65B Hotham St,Collingwood,111 
65 Charlotte St,Newport,361 
68 Martin Rd,Glen Iris,765 
69 Lloyd St,Strathmore,764 
6 Gray St,Bentleigh East,294 
6 Lock St,Fawkner,661 
7/1 Princess St,Richmond,85 
74 Bridport St,Albert Park,185 
77B Fromer St,Bentleigh,305 
78 Emo Rd,Malvern East,687 
7 Prospect Gr,Northcote,611 
8/20 Yuille St,Brighton,450 
82 Cuthbert St,Broadmeadows,229 
84 Raleigh St,Thornbury,171 
87 Berkshire Rd,Sunshine North,651 
91A Linacre Rd,Hampton,180 
94 Lydia St,Brunswick,143 
97 North Rd,Reservoir,395 
9 Rogerson St,Avondale Heights,580 
9 Type St,Richmond,195
